Country,Year,Subject Area,Percentage
Afghanistan,2018,Agricultural and Biological Sciences,6.31
Afghanistan,2019,Agricultural and Biological Sciences,8.54
Afghanistan,2020,Agricultural and Biological Sciences,5.34
Afghanistan,2021,Agricultural and Biological Sciences,6.58
Afghanistan,2022,Agricultural and Biological Sciences,6.22
Afghanistan,2023,Agricultural and Biological Sciences,8.37
Afghanistan,2024,Agricultural and Biological Sciences,7.52
Albania,2018,Agricultural and Biological Sciences,7.3
Albania,2019,Agricultural and Biological Sciences,7.27
Albania,2020,Agricultural and Biological Sciences,5.79
Albania,2021,Agricultural and Biological Sciences,5.0
Albania,2022,Agricultural and Biological Sciences,5.4
Albania,2023,Agricultural and Biological Sciences,6.18
Albania,2024,Agricultural and Biological Sciences,4.75
Algeria,2018,Agricultural and Biological Sciences,12.07
Algeria,2019,Agricultural and Biological Sciences,13.42
Algeria,2020,Agricultural and Biological Sciences,11.23
Algeria,2021,Agricultural and Biological Sciences,14.66
Algeria,2022,Agricultural and Biological Sciences,16.78
Algeria,2023,Agricultural and Biological Sciences,15.88
Algeria,2024,Agricultural and Biological Sciences,14.83
Angola,2018,Agricultural and Biological Sciences,13.11
Angola,2019,Agricultural and Biological Sciences,17.29
Angola,2020,Agricultural and Biological Sciences,9.44
Angola,2021,Agricultural and Biological Sciences,11.0
Angola,2022,Agricultural and Biological Sciences,8.71
Angola,2023,Agricultural and Biological Sciences,5.53
Angola,2024,Agricultural and Biological Sciences,8.41
Argentina,2018,Agricultural and Biological Sciences,0.0
Argentina,2019,Agricultural and Biological Sciences,0.0
Argentina,2020,Agricultural and Biological Sciences,0.0
Argentina,2021,Agricultural and Biological Sciences,0.0
Argentina,2022,Agricultural and Biological Sciences,0.0
Argentina,2023,Agricultural and Biological Sciences,0.0
Argentina,2024,Agricultural and Biological Sciences,0.0
Armenia,2018,Agricultural and Biological Sciences,1.8
Armenia,2019,Agricultural and Biological Sciences,2.31
Armenia,2020,Agricultural and Biological Sciences,2.62
Armenia,2021,Agricultural and Biological Sciences,2.99
Armenia,2022,Agricultural and Biological Sciences,3.15
Armenia,2023,Agricultural and Biological Sciences,4.17
Armenia,2024,Agricultural and Biological Sciences,5.93
Aruba,2018,Agricultural and Biological Sciences,8.33
Aruba,2019,Agricultural and Biological Sciences,8.33
Aruba,2020,Agricultural and Biological Sciences,4.88
Aruba,2021,Agricultural and Biological Sciences,5.45
Aruba,2022,Agricultural and Biological Sciences,3.57
Aruba,2023,Agricultural and Biological Sciences,1.41
Aruba,2024,Agricultural and Biological Sciences,7.55
Australia,2018,Agricultural and Biological Sciences,0.0
Australia,2019,Agricultural and Biological Sciences,0.0
Australia,2020,Agricultural and Biological Sciences,0.0
Australia,2021,Agricultural and Biological Sciences,0.0
Australia,2022,Agricultural and Biological Sciences,0.0
Australia,2023,Agricultural and Biological Sciences,0.0
Australia,2024,Agricultural and Biological Sciences,0.0
Austria,2018,Agricultural and Biological Sciences,0.0
Austria,2019,Agricultural and Biological Sciences,0.0
Austria,2020,Agricultural and Biological Sciences,0.0
Austria,2021,Agricultural and Biological Sciences,0.0
Austria,2022,Agricultural and Biological Sciences,0.0
Austria,2023,Agricultural and Biological Sciences,0.0
Austria,2024,Agricultural and Biological Sciences,0.0
Azerbaijan,2018,Agricultural and Biological Sciences,2.92
Azerbaijan,2019,Agricultural and Biological Sciences,2.68
Azerbaijan,2020,Agricultural and Biological Sciences,2.39
Azerbaijan,2021,Agricultural and Biological Sciences,2.58
Azerbaijan,2022,Agricultural and Biological Sciences,2.63
Azerbaijan,2023,Agricultural and Biological Sciences,2.48
Azerbaijan,2024,Agricultural and Biological Sciences,3.78
Bahrain,2018,Agricultural and Biological Sciences,1.09
Bahrain,2019,Agricultural and Biological Sciences,2.22
Bahrain,2020,Agricultural and Biological Sciences,2.43
Bahrain,2021,Agricultural and Biological Sciences,2.04
Bahrain,2022,Agricultural and Biological Sciences,1.86
Bahrain,2023,Agricultural and Biological Sciences,2.52
Bahrain,2024,Agricultural and Biological Sciences,1.37
Bangladesh,2018,Agricultural and Biological Sciences,8.51
Bangladesh,2019,Agricultural and Biological Sciences,10.52
Bangladesh,2020,Agricultural and Biological Sciences,0.0
Bangladesh,2021,Agricultural and Biological Sciences,0.0
Bangladesh,2022,Agricultural and Biological Sciences,0.0
Bangladesh,2023,Agricultural and Biological Sciences,0.0
Bangladesh,2024,Agricultural and Biological Sciences,0.0
Belarus,2018,Agricultural and Biological Sciences,3.38
Belarus,2019,Agricultural and Biological Sciences,2.54
Belarus,2020,Agricultural and Biological Sciences,2.54
Belarus,2021,Agricultural and Biological Sciences,3.02
Belarus,2022,Agricultural and Biological Sciences,2.57
Belarus,2023,Agricultural and Biological Sciences,2.61
Belarus,2024,Agricultural and Biological Sciences,3.43
Belgium,2018,Agricultural and Biological Sciences,0.0
Belgium,2019,Agricultural and Biological Sciences,0.0
Belgium,2020,Agricultural and Biological Sciences,0.0
Belgium,2021,Agricultural and Biological Sciences,0.0
Belgium,2022,Agricultural and Biological Sciences,0.0
Belgium,2023,Agricultural and Biological Sciences,0.0
Belgium,2024,Agricultural and Biological Sciences,0.0
Belize,2018,Agricultural and Biological Sciences,29.82
Belize,2019,Agricultural and Biological Sciences,21.18
Belize,2020,Agricultural and Biological Sciences,18.97
Belize,2021,Agricultural and Biological Sciences,21.19
Belize,2022,Agricultural and Biological Sciences,20.57
Belize,2023,Agricultural and Biological Sciences,21.53
Belize,2024,Agricultural and Biological Sciences,16.95
Benin,2018,Agricultural and Biological Sciences,19.98
Benin,2019,Agricultural and Biological Sciences,18.08
Benin,2020,Agricultural and Biological Sciences,17.27
Benin,2021,Agricultural and Biological Sciences,16.99
Benin,2022,Agricultural and Biological Sciences,16.89
Benin,2023,Agricultural and Biological Sciences,15.01
Benin,2024,Agricultural and Biological Sciences,17.47
Bhutan,2018,Agricultural and Biological Sciences,14.75
Bhutan,2019,Agricultural and Biological Sciences,14.34
Bhutan,2020,Agricultural and Biological Sciences,15.98
Bhutan,2021,Agricultural and Biological Sciences,12.84
Bhutan,2022,Agricultural and Biological Sciences,14.06
Bhutan,2023,Agricultural and Biological Sciences,12.5
Bhutan,2024,Agricultural and Biological Sciences,9.52
Bolivia,2018,Agricultural and Biological Sciences,17.56
Bolivia,2019,Agricultural and Biological Sciences,10.46
Bolivia,2020,Agricultural and Biological Sciences,15.35
Bolivia,2021,Agricultural and Biological Sciences,13.25
Bolivia,2022,Agricultural and Biological Sciences,12.06
Bolivia,2023,Agricultural and Biological Sciences,11.47
Bolivia,2024,Agricultural and Biological Sciences,14.32
Bosnia and Herzegovina,2018,Agricultural and Biological Sciences,5.23
Bosnia and Herzegovina,2019,Agricultural and Biological Sciences,3.99
Bosnia and Herzegovina,2020,Agricultural and Biological Sciences,4.15
Bosnia and Herzegovina,2021,Agricultural and Biological Sciences,5.68
Bosnia and Herzegovina,2022,Agricultural and Biological Sciences,5.21
Bosnia and Herzegovina,2023,Agricultural and Biological Sciences,5.48
Bosnia and Herzegovina,2024,Agricultural and Biological Sciences,4.63
Botswana,2018,Agricultural and Biological Sciences,8.49
Botswana,2019,Agricultural and Biological Sciences,7.92
Botswana,2020,Agricultural and Biological Sciences,8.74
Botswana,2021,Agricultural and Biological Sciences,6.73
Botswana,2022,Agricultural and Biological Sciences,6.92
Botswana,2023,Agricultural and Biological Sciences,7.15
Botswana,2024,Agricultural and Biological Sciences,7.66
Brazil,2018,Agricultural and Biological Sciences,
Brazil,2019,Agricultural and Biological Sciences,
Brazil,2020,Agricultural and Biological Sciences,0.0
Brazil,2021,Agricultural and Biological Sciences,
Brazil,2022,Agricultural and Biological Sciences,
Brazil,2023,Agricultural and Biological Sciences,
Brazil,2024,Agricultural and Biological Sciences,
Brunei Darussalam,2018,Agricultural and Biological Sciences,3.87
Brunei Darussalam,2019,Agricultural and Biological Sciences,5.29
Brunei Darussalam,2020,Agricultural and Biological Sciences,4.53
Brunei Darussalam,2021,Agricultural and Biological Sciences,4.49
Brunei Darussalam,2022,Agricultural and Biological Sciences,4.27
Brunei Darussalam,2023,Agricultural and Biological Sciences,3.64
Brunei Darussalam,2024,Agricultural and Biological Sciences,4.95
Bulgaria,2018,Agricultural and Biological Sciences,8.06
Bulgaria,2019,Agricultural and Biological Sciences,10.04
Bulgaria,2020,Agricultural and Biological Sciences,11.02
Bulgaria,2021,Agricultural and Biological Sciences,10.64
Bulgaria,2022,Agricultural and Biological Sciences,0.0
Bulgaria,2023,Agricultural and Biological Sciences,0.0
Bulgaria,2024,Agricultural and Biological Sciences,10.47
Burkina Faso,2018,Agricultural and Biological Sciences,13.05
Burkina Faso,2019,Agricultural and Biological Sciences,12.59
Burkina Faso,2020,Agricultural and Biological Sciences,13.01
Burkina Faso,2021,Agricultural and Biological Sciences,11.71
Burkina Faso,2022,Agricultural and Biological Sciences,10.68
Burkina Faso,2023,Agricultural and Biological Sciences,11.75
