Country,Year,Subject Area,Number of Documents,Total Documents,Percentage
Algeria,2019,CHEM,1,2,50.0
Algeria,2019,MEDI,1,2,50.0
Argentina,2019,AGRI,1,5,20.0
Argentina,2019,CENG,1,5,20.0
Argentina,2019,MEDI,2,5,40.0
Argentina,2019,PHYS,1,5,20.0
Armenia,2019,ENGI,21,120,17.5
Armenia,2019,MEDI,4,120,3.3333333333333335
Armenia,2019,PHYS,95,120,79.16666666666666
Australia,2019,AGRI,3,192,1.5625
Australia,2019,BIOC,10,192,5.208333333333334
Australia,2019,BUSI,2,192,1.0416666666666665
Australia,2019,CHEM,6,192,3.125
Australia,2019,COMP,1,192,0.5208333333333333
Australia,2019,DENT,1,192,0.5208333333333333
Australia,2019,EART,1,192,0.5208333333333333
Australia,2019,ECON,2,192,1.0416666666666665
Australia,2019,ENER,4,192,2.083333333333333
Australia,2019,ENGI,3,192,1.5625
Australia,2019,ENVI,3,192,1.5625
Australia,2019,HEAL,1,192,0.5208333333333333
Australia,2019,IMMU,6,192,3.125
Australia,2019,MATE,3,192,1.5625
Australia,2019,MEDI,55,192,28.645833333333332
Australia,2019,MULT,2,192,1.0416666666666665
Australia,2019,NEUR,16,192,8.333333333333332
Australia,2019,NURS,2,192,1.0416666666666665
Australia,2019,PHAR,4,192,2.083333333333333
Australia,2019,PHYS,57,192,29.6875
Australia,2019,PSYC,3,192,1.5625
Australia,2019,SOCI,6,192,3.125
Australia,2019,VETE,1,192,0.5208333333333333
Austria,2019,AGRI,2,133,1.5037593984962405
Austria,2019,BIOC,1,133,0.7518796992481203
Austria,2019,CHEM,3,133,2.2556390977443606
Austria,2019,EART,1,133,0.7518796992481203
Austria,2019,ENGI,21,133,15.789473684210526
Austria,2019,ENVI,1,133,0.7518796992481203
Austria,2019,MATE,1,133,0.7518796992481203
Austria,2019,MEDI,4,133,3.007518796992481
Austria,2019,MULT,2,133,1.5037593984962405
Austria,2019,PHAR,2,133,1.5037593984962405
Austria,2019,PHYS,95,133,71.42857142857143
Azerbaijan,2019,PHYS,1,1,100.0
Bahrain,2019,BUSI,1,2,50.0
Bahrain,2019,MEDI,1,2,50.0
Bangladesh,2019,ENVI,2,12,16.666666666666664
Bangladesh,2019,IMMU,1,12,8.333333333333332
Bangladesh,2019,MEDI,7,12,58.333333333333336
Bangladesh,2019,NEUR,1,12,8.333333333333332
Bangladesh,2019,PSYC,1,12,8.333333333333332
Belarus,2019,ENGI,21,116,18.103448275862068
Belarus,2019,PHYS,95,116,81.89655172413794
