Subject,Identifier,EID,Title,Creator,Publication Name,Publication Date,DOI,Cited By Count,Affiliation Name,Affiliation City,Affiliation Country,Year
MULT,SCOPUS_ID:85210310976,2-s2.0-85210310976,Emx2 is an essential regulator of ciliated cell development across embryonic tissues,Nguyen T.K.,iScience,2024-12-20,10.1016/j.isci.2024.111271,0,University of Notre Dame,Notre Dame,United States,2024
MULT,SCOPUS_ID:85210305527,2-s2.0-85210305527,BMAL1 upregulates STX17 levels to promote autophagosome-lysosome fusion in hippocampal neurons to ameliorate Alzheimer's disease,Zhou X.,iScience,2024-12-20,10.1016/j.isci.2024.111413,0,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China,2024
MULT,SCOPUS_ID:85210300443,2-s2.0-85210300443,Temporal evolution of electron-bunch length in macropulse of resonator-type free-electron lasers,Sei N.,iScience,2024-12-20,10.1016/j.isci.2024.111402,0,National Institute of Advanced Industrial Science and Technology,Tsukuba,Japan,2024
MULT,SCOPUS_ID:85210294689,2-s2.0-85210294689,Deep learning model for diagnosis of venous thrombosis from lower extremity peripheral ultrasound imaging,Chen P.W.,iScience,2024-12-20,10.1016/j.isci.2024.111318,0,National Cheng Kung University Hospital,Tainan,Taiwan,2024
MULT,SCOPUS_ID:85210292213,2-s2.0-85210292213,Increased CSN5 expression enhances the sensitivity to lenalidomide in multiple myeloma cells,Yamamoto T.,iScience,2024-12-20,10.1016/j.isci.2024.111399,0,Graduate School of Medical Sciences,Kumamoto,Japan,2024
MULT,SCOPUS_ID:85210285215,2-s2.0-85210285215,Activity-dependent COX-2 proteolysis modulates aerobic respiration and proliferation in a prostaglandin-independent manner,Hartal-Benishay L.H.,iScience,2024-12-20,10.1016/j.isci.2024.111403,0,University of Haifa,Haifa,Israel,2024
MULT,SCOPUS_ID:85210282516,2-s2.0-85210282516,Tumor microenvironment assessment-based signatures for predicting response to immunotherapy in non-small cell lung cancer,Wu J.,iScience,2024-12-20,10.1016/j.isci.2024.111340,0,Southern Medical University,Guangzhou,China,2024
MULT,SCOPUS_ID:85210278027,2-s2.0-85210278027,Effect of heat treatment on tribological behavior of direct metal laser sintered alloy 718,Muthu S.M.,iScience,2024-12-20,10.1016/j.isci.2024.111415,0,Chennai Institute of Technology,Chennai,India,2024
MULT,SCOPUS_ID:85210276442,2-s2.0-85210276442,Single-cell transcriptomic reveals the peritoneal microenvironmental change in long-term peritoneal dialysis patients with ultrafiltration failure,Diao X.,iScience,2024-12-20,10.1016/j.isci.2024.111383,0,Sun Yat-Sen University,Guangzhou,China,2024
MULT,SCOPUS_ID:85210273523,2-s2.0-85210273523,Developing the biomarker panels and drugs by proteomic analysis for autoimmune uveitis and posterior scleritis,Li X.,iScience,2024-12-20,10.1016/j.isci.2024.111389,0,Tianjin Medical University,Tianjin,China,2024
MULT,SCOPUS_ID:85210142446,2-s2.0-85210142446,ProteoNet: A CNN-based framework for analyzing proteomics MS-RGB images,Huang J.,iScience,2024-12-20,10.1016/j.isci.2024.111362,0,National Institute of Metrology China,Beijing,China,2024
MULT,SCOPUS_ID:85210138885,2-s2.0-85210138885,Humoral correlates of protection against Mycobacterium tuberculosis following intravenous BCG vaccination in rhesus macaques,Irvine E.B.,iScience,2024-12-20,10.1016/j.isci.2024.111128,0,Harvard T.H. Chan School of Public Health,Boston,United States,2024
MULT,SCOPUS_ID:85210131274,2-s2.0-85210131274,Cytosolic bacterial pathogens activate TLR pathways in tumors that synergistically enhance STING agonist cancer therapies,Danielson M.,iScience,2024-12-20,10.1016/j.isci.2024.111385,0,"University of California, Irvine",Irvine,United States,2024
MULT,SCOPUS_ID:85210129966,2-s2.0-85210129966,Bacterial suppressor-of-copper-sensitivity proteins exhibit diverse thiol-disulfide oxidoreductase cellular functions,Hong Y.,iScience,2024-12-20,10.1016/j.isci.2024.111392,0,Queensland University of Technology,Brisbane,Australia,2024
