filename,dc_title,affiliation_country,srctype,eid,prism_coverDate,prism_aggregationType,subtypeDescription,subject_area_name,subject_area_code,subject_area_abbrev,publicationName,source_id,citedby_count,subtype,prism_doi,dc_identifier,dc_publisher
201900000,Identifying nursing research priorities in Vietnam: A modified delphi study†,Thailand,j,2-s2.0-85078108379,2019-12-31T00:00:00.000Z,Journal,Article,Nursing (all),2900,NURS,Frontiers of Nursing,21100896893,5,ar,10.2478/FON-2019-0044,SCOPUS_ID:85078108379,Sciendomacvetrev@fvm.ukim.edu.mk
201900000,Identifying nursing research priorities in Vietnam: A modified delphi study†,Viet Nam,j,2-s2.0-85078108379,2019-12-31T00:00:00.000Z,Journal,Article,Nursing (all),2900,NURS,Frontiers of Nursing,21100896893,5,ar,10.2478/FON-2019-0044,SCOPUS_ID:85078108379,Sciendomacvetrev@fvm.ukim.edu.mk
201900001,Evaluation of the sciatic nerve location regarding its relationship to the piriformis muscle,Thailand,j,2-s2.0-85097210623,2019-12-30T00:00:00.000Z,Journal,Article,Anatomy,2702,MEDI,Folia Morphologica (Poland),15091,1,ar,10.5603/FM.A2019.0140,SCOPUS_ID:85097210623,Via Medica
201900002,Breast conserving surgery versus modified radical mastectomy,Thailand,j,2-s2.0-85078854997,2019-12-30T00:00:00.000Z,Journal,Editorial,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,0,ed,10.1515/abm-2019-0044,SCOPUS_ID:85078854997,Sciendomacvetrev@fvm.ukim.edu.mk
201900003,Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,Thailand,j,2-s2.0-85078201825,2019-12-30T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,1,ar,10.1515/abm-2019-0046,SCOPUS_ID:85078201825,Sciendomacvetrev@fvm.ukim.edu.mk
201900003,Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,United States,j,2-s2.0-85078201825,2019-12-30T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,1,ar,10.1515/abm-2019-0046,SCOPUS_ID:85078201825,Sciendomacvetrev@fvm.ukim.edu.mk
201900004,Common orthopedic problems in the neonate: A comparative study of 2 periods at a tertiary-care hospital,Thailand,j,2-s2.0-85078139291,2019-12-30T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,2,ar,10.1515/abm-2019-0047,SCOPUS_ID:85078139291,Sciendomacvetrev@fvm.ukim.edu.mk
201900005,Conservative surgical management for immediate postpartum hemorrhage,Thailand,j,2-s2.0-85078136559,2019-12-30T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,2,ar,10.1515/abm-2019-0048,SCOPUS_ID:85078136559,Sciendomacvetrev@fvm.ukim.edu.mk
201900006,Distinguishing magnetic resonance imaging features between idiopathic hypertrophic pachymeningitis and secondary hypertrophic pachymeningitis,Thailand,j,2-s2.0-85078120406,2019-12-30T00:00:00.000Z,Journal,Article,"Biochemistry, Genetics and Molecular Biology (all)",1300,BIOC,Asian Biomedicine,19300156818,2,ar,10.1515/abm-2019-0049,SCOPUS_ID:85078120406,Sciendomacvetrev@fvm.ukim.edu.mk
201900007,Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,France,j,2-s2.0-85077258483,2019-12-26T00:00:00.000Z,Journal,Article,Plant Science,1110,AGRI,BMC Plant Biology,16794,13,ar,10.1186/s12870-019-2205-0,SCOPUS_ID:85077258483,BioMed Central Ltd.info@biomedcentral.com
