filename,dc_title,affiliation_country,srctype,eid,prism_coverDate,prism_aggregationType,subtypeDescription,subject_area_name,subject_area_code,subject_area_abbrev,publicationName,source_id,citedby_count,subtype,prism_doi,dc_identifier,dc_publisher
202100000,Role of interventional procedures in channelopathies catheter ablation and sympathectomy,Spain,b,2-s2.0-85128088236,2021-12-31T00:00:00.000Z,Book,Book Chapter,Medicine (all),2700,MEDI,Catheter Ablation of Cardiac Arrhythmias in Children and Patients with Congenital Heart Disease,21101084653,0,ch,10.1201/9781003082101-25,SCOPUS_ID:85128088236,CRC Press
202100000,Role of interventional procedures in channelopathies catheter ablation and sympathectomy,Thailand,b,2-s2.0-85128088236,2021-12-31T00:00:00.000Z,Book,Book Chapter,Medicine (all),2700,MEDI,Catheter Ablation of Cardiac Arrhythmias in Children and Patients with Congenital Heart Disease,21101084653,0,ch,10.1201/9781003082101-25,SCOPUS_ID:85128088236,CRC Press
202100001,Democratic Lagrangians for Nonlinear Electrodynamics,Belgium,j,2-s2.0-85122493175,2021-12-31T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,9,ar,10.1103/PhysRevLett.127.271601,SCOPUS_ID:85122493175,American Physical Society
202100001,Democratic Lagrangians for Nonlinear Electrodynamics,Russian Federation,j,2-s2.0-85122493175,2021-12-31T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,9,ar,10.1103/PhysRevLett.127.271601,SCOPUS_ID:85122493175,American Physical Society
202100001,Democratic Lagrangians for Nonlinear Electrodynamics,Thailand,j,2-s2.0-85122493175,2021-12-31T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,9,ar,10.1103/PhysRevLett.127.271601,SCOPUS_ID:85122493175,American Physical Society
202100001,Democratic Lagrangians for Nonlinear Electrodynamics,United Kingdom,j,2-s2.0-85122493175,2021-12-31T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,9,ar,10.1103/PhysRevLett.127.271601,SCOPUS_ID:85122493175,American Physical Society
202100001,Democratic Lagrangians for Nonlinear Electrodynamics,United States,j,2-s2.0-85122493175,2021-12-31T00:00:00.000Z,Journal,Article,Physics and Astronomy (all),3100,PHYS,Physical Review Letters,29150,9,ar,10.1103/PhysRevLett.127.271601,SCOPUS_ID:85122493175,American Physical Society
202100002,Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),Australia,j,2-s2.0-85127926459,2021-12-30T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Zootaxa,4700151916,0,ar,10.11646/zootaxa.5086.1.2,SCOPUS_ID:85127926459,NLM (Medline)
202100002,Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),New Zealand,j,2-s2.0-85127926459,2021-12-30T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Zootaxa,4700151916,0,ar,10.11646/zootaxa.5086.1.2,SCOPUS_ID:85127926459,NLM (Medline)
202100002,Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),Thailand,j,2-s2.0-85127926459,2021-12-30T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Zootaxa,4700151916,0,ar,10.11646/zootaxa.5086.1.2,SCOPUS_ID:85127926459,NLM (Medline)
202100003,Ontogeny and morphological diversity in immature mites (Part V) (Title page),Australia,j,2-s2.0-85127811920,2021-12-30T00:00:00.000Z,Journal,Article,"Ecology, Evolution, Behavior and Systematics",1105,AGRI,Zootaxa,4700151916,4,ar,10.11646/zootaxa.5086.1.1,SCOPUS_ID:85127811920,NLM (Medline)
