AGRI,SCOPUS_ID:85049217501,2-s2.0-85049217501,Omega-3 fatty acids and meloxicam supplementation and the incidence and histopathological changes associated with femoral head syndrome in broilers,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN17713,1,Thailand,2019
AGRI,SCOPUS_ID:85049248081,2-s2.0-85049248081,Neurophysiological development of newborn pigs: Effect of the sow's parity number in eutocic farrowings,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN16641,2,Canada,2019
AGRI,SCOPUS_ID:85049248081,2-s2.0-85049248081,Neurophysiological development of newborn pigs: Effect of the sow's parity number in eutocic farrowings,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN16641,2,Mexico,2019
AGRI,SCOPUS_ID:85049248081,2-s2.0-85049248081,Neurophysiological development of newborn pigs: Effect of the sow's parity number in eutocic farrowings,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN16641,2,Spain,2019
AGRI,SCOPUS_ID:85049248081,2-s2.0-85049248081,Neurophysiological development of newborn pigs: Effect of the sow's parity number in eutocic farrowings,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN16641,2,Thailand,2019
AGRI,SCOPUS_ID:85051725467,2-s2.0-85051725467,Salt stress in rice: multivariate analysis separates four components of beneficial silicon action,Protoplasma,2019-03-01T00:00:00.000Z,10.1007/s00709-018-1293-2,9,Austria,2019
AGRI,SCOPUS_ID:85051725467,2-s2.0-85051725467,Salt stress in rice: multivariate analysis separates four components of beneficial silicon action,Protoplasma,2019-03-01T00:00:00.000Z,10.1007/s00709-018-1293-2,9,Thailand,2019
AGRI,SCOPUS_ID:85052102693,2-s2.0-85052102693,"Annotated catalogue of the types of Indo-Burmese non-marine Gastropoda deposited in the Faculty of Tropical Medicine, Mahidol University, Thailand",Molluscan Research,2019-04-03T00:00:00.000Z,10.1080/13235818.2018.1508619,0,Thailand,2019
AGRI,SCOPUS_ID:85053064170,2-s2.0-85053064170,Ability of marine cyanobacterium Synechococcus sp. VDW to remove ammonium from brackish aquaculture wastewater,Agricultural Water Management,2019-02-01T00:00:00.000Z,10.1016/j.agwat.2018.09.006,19,Thailand,2019
AGRI,SCOPUS_ID:85053372718,2-s2.0-85053372718,Natural occurrence of edwardsiellosis caused by Edwardsiella ictaluri in farmed hybrid red tilapia (Oreochromis sp.) in Southeast Asia,Aquaculture,2019-01-15T00:00:00.000Z,10.1016/j.aquaculture.2018.09.007,24,Thailand,2019
AGRI,SCOPUS_ID:85053372718,2-s2.0-85053372718,Natural occurrence of edwardsiellosis caused by Edwardsiella ictaluri in farmed hybrid red tilapia (Oreochromis sp.) in Southeast Asia,Aquaculture,2019-01-15T00:00:00.000Z,10.1016/j.aquaculture.2018.09.007,24,Viet Nam,2019
AGRI,SCOPUS_ID:85054785206,2-s2.0-85054785206,Identification of infectious spleen and kidney necrosis virus from farmed barramundi Lates calcarifer in Thailand and study of its pathogenicity,Aquaculture,2019-02-01T00:00:00.000Z,10.1016/j.aquaculture.2018.09.035,17,Japan,2019
AGRI,SCOPUS_ID:85054785206,2-s2.0-85054785206,Identification of infectious spleen and kidney necrosis virus from farmed barramundi Lates calcarifer in Thailand and study of its pathogenicity,Aquaculture,2019-02-01T00:00:00.000Z,10.1016/j.aquaculture.2018.09.035,17,Thailand,2019
AGRI,SCOPUS_ID:85055533858,2-s2.0-85055533858,Dietary crude palm oil supplementation improves egg quality and modulates tissue and yolk Vitamin E concentrations of laying hen,Animal Production Science,2019-01-01T00:00:00.000Z,10.1071/AN18220,4,Thailand,2019
AGRI,SCOPUS_ID:85055687536,2-s2.0-85055687536,Storage stability of bleached rice bran wax organogels and water-in-oil emulsions,Journal of Food Measurement and Characterization,2019-03-15T00:00:00.000Z,10.1007/s11694-018-9957-3,12,Thailand,2019
AGRI,SCOPUS_ID:85056716317,2-s2.0-85056716317,"Corrigendum to “Effects of varying soil and atmospheric water deficit on water use characteristics of tropical street tree species” (Urban Forestry & Urban Greening (2018) 36 (76–83), (S1618866718303273) (10.1016/j.ufug.2018.10.010))",Urban Forestry and Urban Greening,2019-03-01T00:00:00.000Z,10.1016/j.ufug.2018.11.003,0,Thailand,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Argentina,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Austria,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Brazil,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,China,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Colombia,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Denmark,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,France,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Germany,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,India,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Japan,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Mexico,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,South Africa,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Switzerland,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Tanzania,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,Thailand,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,United Kingdom,2019
AGRI,SCOPUS_ID:85058056328,2-s2.0-85058056328,The diversity and evolution of pollination systems in large plant clades: Apocynaceae as a case study,Annals of Botany,2019-01-23T00:00:00.000Z,10.1093/aob/mcy127,48,United States,2019
AGRI,SCOPUS_ID:85059499797,2-s2.0-85059499797,In silico analyses of rice thionin genes and the antimicrobial activity of osthion15 against phytopathogens,Phytopathology,2019-01-01T00:00:00.000Z,10.1094/PHYTO-06-17-0217-R,4,Thailand,2019
AGRI,SCOPUS_ID:85059503581,2-s2.0-85059503581,Mammary metabolism and colostrogenesis in sows during late gestation and the colostral period,Journal of Animal Science,2019-01-01T00:00:00.000Z,10.1093/jas/sky395,26,China,2019
AGRI,SCOPUS_ID:85059503581,2-s2.0-85059503581,Mammary metabolism and colostrogenesis in sows during late gestation and the colostral period,Journal of Animal Science,2019-01-01T00:00:00.000Z,10.1093/jas/sky395,26,Denmark,2019
AGRI,SCOPUS_ID:85059503581,2-s2.0-85059503581,Mammary metabolism and colostrogenesis in sows during late gestation and the colostral period,Journal of Animal Science,2019-01-01T00:00:00.000Z,10.1093/jas/sky395,26,Thailand,2019
AGRI,SCOPUS_ID:85059626150,2-s2.0-85059626150,Bifunctional clove oil nanoparticles for anesthesia and anti-bacterial activity in Nile tilapia (Oreochromis niloticus),Aquaculture,2019-03-30T00:00:00.000Z,10.1016/j.aquaculture.2018.12.058,21,Thailand,2019
AGRI,SCOPUS_ID:85059756533,2-s2.0-85059756533,The use of rheological behavior to monitor the processing and service life properties of recycled polypropylene,Food Packaging and Shelf Life,2019-03-01T00:00:00.000Z,10.1016/j.fpsl.2019.01.002,25,Germany,2019
AGRI,SCOPUS_ID:85059756533,2-s2.0-85059756533,The use of rheological behavior to monitor the processing and service life properties of recycled polypropylene,Food Packaging and Shelf Life,2019-03-01T00:00:00.000Z,10.1016/j.fpsl.2019.01.002,25,Thailand,2019
AGRI,SCOPUS_ID:85059756533,2-s2.0-85059756533,The use of rheological behavior to monitor the processing and service life properties of recycled polypropylene,Food Packaging and Shelf Life,2019-03-01T00:00:00.000Z,10.1016/j.fpsl.2019.01.002,25,United States,2019
AGRI,SCOPUS_ID:85061045951,2-s2.0-85061045951,"Integrative taxonomy reveals phenotypic plasticity in the freshwater mussel Contradens contradens (Bivalvia: Unionidae) in Thailand, with a description of a new species",Systematics and Biodiversity,2019-02-17T00:00:00.000Z,10.1080/14772000.2018.1554607,19,Thailand,2019
AGRI,SCOPUS_ID:85061101954,2-s2.0-85061101954,The formerly enigmatic Unidentiidae in the limelight again: A new species of the genus Unidentia from Thailand (Gastropoda: Nudibranchia),Zootaxa,2019-02-05T00:00:00.000Z,10.11646/zootaxa.4551.5.4,10,Russian Federation,2019
AGRI,SCOPUS_ID:85061101954,2-s2.0-85061101954,The formerly enigmatic Unidentiidae in the limelight again: A new species of the genus Unidentia from Thailand (Gastropoda: Nudibranchia),Zootaxa,2019-02-05T00:00:00.000Z,10.11646/zootaxa.4551.5.4,10,Sweden,2019
AGRI,SCOPUS_ID:85061101954,2-s2.0-85061101954,The formerly enigmatic Unidentiidae in the limelight again: A new species of the genus Unidentia from Thailand (Gastropoda: Nudibranchia),Zootaxa,2019-02-05T00:00:00.000Z,10.11646/zootaxa.4551.5.4,10,Thailand,2019
AGRI,SCOPUS_ID:85061101954,2-s2.0-85061101954,The formerly enigmatic Unidentiidae in the limelight again: A new species of the genus Unidentia from Thailand (Gastropoda: Nudibranchia),Zootaxa,2019-02-05T00:00:00.000Z,10.11646/zootaxa.4551.5.4,10,United Kingdom,2019
AGRI,SCOPUS_ID:85061184634,2-s2.0-85061184634,New approaches to monitor semi-volatile organic compounds released during coffee roasting using flow-through/active sampling and comprehensive two-dimensional gas chromatography,Food Research International,2019-05-01T00:00:00.000Z,10.1016/j.foodres.2019.02.009,18,Australia,2019
AGRI,SCOPUS_ID:85061184634,2-s2.0-85061184634,New approaches to monitor semi-volatile organic compounds released during coffee roasting using flow-through/active sampling and comprehensive two-dimensional gas chromatography,Food Research International,2019-05-01T00:00:00.000Z,10.1016/j.foodres.2019.02.009,18,Brazil,2019
AGRI,SCOPUS_ID:85061184634,2-s2.0-85061184634,New approaches to monitor semi-volatile organic compounds released during coffee roasting using flow-through/active sampling and comprehensive two-dimensional gas chromatography,Food Research International,2019-05-01T00:00:00.000Z,10.1016/j.foodres.2019.02.009,18,Thailand,2019
AGRI,SCOPUS_ID:85061924420,2-s2.0-85061924420,Phenolic enrichment of Ma-Kieng seed extract using absorbent and this enriched extract application for safety control of fresh-cut cantaloupe,LWT,2019-06-01T00:00:00.000Z,10.1016/j.lwt.2019.01.049,6,Thailand,2019
AGRI,SCOPUS_ID:85062015302,2-s2.0-85062015302,Pterocarpans and Isoflavones from the Heartwood of Pterocarpus indicus,Chemistry of Natural Compounds,2019-01-15T00:00:00.000Z,10.1007/s10600-019-02630-w,2,Thailand,2019
AGRI,SCOPUS_ID:85062177989,2-s2.0-85062177989,"Blood glucose, amino acid profiles and nutrient transporter gene expressions in the small intestine of low and normal birthweight piglets during the early suckling period",Veterinary Journal,2019-05-01T00:00:00.000Z,10.1016/j.tvjl.2019.02.006,11,Thailand,2019
AGRI,SCOPUS_ID:85062241993,2-s2.0-85062241993,Larvicidal activity of synthesized silver nanoparticles from curcuma zedoaria essential oil against culex quinquefasciatus,Insects,2019-11-01T00:00:00.000Z,10.3390/insects10010027,53,Thailand,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,Australia,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,China,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,Czech Republic,2019
AGRI,SCOPUS_ID:85062321467,2-s2.0-85062321467,Insect assemblages attacking seeds and fruits in a rainforest in Thailand,Entomological Science,2019-06-01T00:00:00.000Z,10.1111/ens.12346,3,Panama,2019
