Subject,Identifier,EID,Title,Publication Name,Publication Date,DOI,Cited By Count,Affiliation Country,Year
AGRI,SCOPUS_ID:85061919785,2-s2.0-85061919785,Morphology and microstructure of the tongue of the lesser bamboo rat (Cannomys badius),Acta Zoologica,2020-07-01T00:00:00.000Z,10.1111/azo.12293,3,Thailand,2020
AGRI,SCOPUS_ID:85069880826,2-s2.0-85069880826,The use of plant by-products as non-conventional feedstuff for livestock feeding with reference to rumen methanogenesis,Agroforestry Systems,2020-08-01T00:00:00.000Z,10.1007/s10457-019-00426-z,3,Iran,2020
AGRI,SCOPUS_ID:85069880826,2-s2.0-85069880826,The use of plant by-products as non-conventional feedstuff for livestock feeding with reference to rumen methanogenesis,Agroforestry Systems,2020-08-01T00:00:00.000Z,10.1007/s10457-019-00426-z,3,Malaysia,2020
AGRI,SCOPUS_ID:85069880826,2-s2.0-85069880826,The use of plant by-products as non-conventional feedstuff for livestock feeding with reference to rumen methanogenesis,Agroforestry Systems,2020-08-01T00:00:00.000Z,10.1007/s10457-019-00426-z,3,Thailand,2020
AGRI,SCOPUS_ID:85072937367,2-s2.0-85072937367,A TAXONOMIC REVISION of GLOBBA SECT. NUDAE SUBSECT. MEDIOCALCARATAE (ZINGIBERACEAE),Edinburgh Journal of Botany,2020-03-01T00:00:00.000Z,10.1017/S0960428619000258,9,Thailand,2020
AGRI,SCOPUS_ID:85072937367,2-s2.0-85072937367,A TAXONOMIC REVISION of GLOBBA SECT. NUDAE SUBSECT. MEDIOCALCARATAE (ZINGIBERACEAE),Edinburgh Journal of Botany,2020-03-01T00:00:00.000Z,10.1017/S0960428619000258,9,United Kingdom,2020
AGRI,SCOPUS_ID:85073231584,2-s2.0-85073231584,Experimental infection reveals transmission of tilapia lake virus (TiLV) from tilapia broodstock to their reproductive organs and fertilized eggs,Aquaculture,2020-01-15T00:00:00.000Z,10.1016/j.aquaculture.2019.734541,33,Malaysia,2020
AGRI,SCOPUS_ID:85073231584,2-s2.0-85073231584,Experimental infection reveals transmission of tilapia lake virus (TiLV) from tilapia broodstock to their reproductive organs and fertilized eggs,Aquaculture,2020-01-15T00:00:00.000Z,10.1016/j.aquaculture.2019.734541,33,Thailand,2020
AGRI,SCOPUS_ID:85073772999,2-s2.0-85073772999,Development of an innovative apparatus using UV-C for controlling the number of microorganisms in raw milk after milking,International Journal of Dairy Technology,2020-02-01T00:00:00.000Z,10.1111/1471-0307.12654,8,Thailand,2020
AGRI,SCOPUS_ID:85074406718,2-s2.0-85074406718,Consumers’ perceptions towards Thai rice: A cross-cultural comparison between easterners and westerners,British Food Journal,2020-01-06T00:00:00.000Z,10.1108/BFJ-01-2019-0040,0,Taiwan,2020
AGRI,SCOPUS_ID:85074406718,2-s2.0-85074406718,Consumers’ perceptions towards Thai rice: A cross-cultural comparison between easterners and westerners,British Food Journal,2020-01-06T00:00:00.000Z,10.1108/BFJ-01-2019-0040,0,Thailand,2020
AGRI,SCOPUS_ID:85074406718,2-s2.0-85074406718,Consumers’ perceptions towards Thai rice: A cross-cultural comparison between easterners and westerners,British Food Journal,2020-01-06T00:00:00.000Z,10.1108/BFJ-01-2019-0040,0,United States,2020
AGRI,SCOPUS_ID:85074482619,2-s2.0-85074482619,Shelf-life of shucked oyster in epigallocatechin-3-gallate with slightly acidic electrolyzed water washing under refrigeration temperature,LWT,2020-01-01T00:00:00.000Z,10.1016/j.lwt.2019.108733,17,Thailand,2020
