Country,Year,Subject Area,Number of Documents
Algeria,2021,BIOC,1
Algeria,2021,CHEM,2
Algeria,2021,MATE,2
Argentina,2021,BIOC,3
Argentina,2021,CENG,1
Argentina,2021,CHEM,3
Argentina,2021,EART,1
Argentina,2021,ENVI,2
Argentina,2021,MEDI,6
Argentina,2021,MULT,1
Argentina,2021,NEUR,1
Argentina,2021,PSYC,5
Armenia,2021,CHEM,3
Armenia,2021,ENGI,16
Armenia,2021,MATE,1
Armenia,2021,MEDI,3
Armenia,2021,PHYS,63
Australia,2021,AGRI,8
Australia,2021,BIOC,19
Australia,2021,BUSI,4
Australia,2021,CENG,2
Australia,2021,CHEM,6
Australia,2021,COMP,1
Australia,2021,DENT,2
Australia,2021,EART,5
Australia,2021,ECON,6
Australia,2021,ENER,2
Australia,2021,ENGI,17
Australia,2021,ENVI,7
Australia,2021,IMMU,6
Australia,2021,MATH,3
Australia,2021,MEDI,82
Australia,2021,MULT,11
Australia,2021,NEUR,7
Australia,2021,NURS,1
Australia,2021,PHAR,8
Australia,2021,PHYS,60
Australia,2021,PSYC,16
Australia,2021,SOCI,8
Australia,2021,VETE,1
Austria,2021,AGRI,2
Austria,2021,BIOC,6
Austria,2021,CENG,2
Austria,2021,CHEM,5
Austria,2021,DENT,1
Austria,2021,EART,2
Austria,2021,ENGI,14
Austria,2021,ENVI,1
Austria,2021,IMMU,1
Austria,2021,MATE,1
Austria,2021,MEDI,9
Austria,2021,NEUR,2
Austria,2021,PHYS,59
Austria,2021,PSYC,5
Austria,2021,VETE,1
Bahrain,2021,IMMU,1
Bahrain,2021,MEDI,1
Bangladesh,2021,BIOC,2
Bangladesh,2021,COMP,1
Bangladesh,2021,MEDI,9
Bangladesh,2021,MULT,1
Bangladesh,2021,PSYC,1
Belarus,2021,BIOC,1
Belarus,2021,ENGI,14
Belarus,2021,PHYS,58
Belgium,2021,AGRI,1
Belgium,2021,ARTS,1
Belgium,2021,BIOC,7
Belgium,2021,DENT,1
Belgium,2021,EART,1
Belgium,2021,ENGI,17
Belgium,2021,ENVI,3
Belgium,2021,IMMU,1
Belgium,2021,MATH,1
Belgium,2021,MEDI,16
Belgium,2021,MULT,1
Belgium,2021,PHAR,1
Belgium,2021,PHYS,70
Belgium,2021,PSYC,2
Bhutan,2021,IMMU,1
Bhutan,2021,MEDI,2
Bhutan,2021,SOCI,1
Bolivia,2021,MEDI,1
Bolivia,2021,PSYC,2
Bolivia,2021,SOCI,1
Bosnia and Herzegovina,2021,BIOC,1
Bosnia and Herzegovina,2021,CHEM,2
Bosnia and Herzegovina,2021,MEDI,2
Bosnia and Herzegovina,2021,PSYC,1
Botswana,2021,BIOC,1
Botswana,2021,CHEM,2
Botswana,2021,MEDI,3
Brazil,2021,AGRI,2
Brazil,2021,BIOC,9
Brazil,2021,CENG,1
Brazil,2021,CHEM,5
Brazil,2021,COMP,1
Brazil,2021,EART,1
Brazil,2021,ENER,1
Brazil,2021,ENGI,17
Brazil,2021,IMMU,1
Brazil,2021,MATH,1
Brazil,2021,MEDI,37
Brazil,2021,MULT,2
Brazil,2021,NEUR,4
Brazil,2021,NURS,1
Brazil,2021,PHAR,1
Brazil,2021,PHYS,63
Brazil,2021,PSYC,10
Brazil,2021,SOCI,7
Brunei Darussalam,2021,MEDI,2
Bulgaria,2021,BIOC,10
Bulgaria,2021,CENG,1
Bulgaria,2021,ENGI,14
Bulgaria,2021,MEDI,14
Bulgaria,2021,NEUR,5
Bulgaria,2021,PHAR,7
Bulgaria,2021,PHYS,58
Bulgaria,2021,PSYC,11
Burkina Faso,2021,MEDI,1
Cambodia,2021,AGRI,2
Cambodia,2021,CENG,1
Cambodia,2021,COMP,1
Cambodia,2021,EART,1
Cambodia,2021,ENER,1
Cambodia,2021,MEDI,4
Cambodia,2021,MULT,2
Cambodia,2021,PHAR,1
Cambodia,2021,SOCI,1
Cameroon,2021,MEDI,2
Canada,2021,AGRI,4
Canada,2021,BIOC,7
Canada,2021,CENG,3
Canada,2021,CHEM,6
Canada,2021,EART,3
Canada,2021,ENER,2
Canada,2021,ENGI,1
Canada,2021,ENVI,3
Canada,2021,IMMU,2
Canada,2021,MATE,1
Canada,2021,MEDI,46
Canada,2021,MULT,3
Canada,2021,NEUR,6
Canada,2021,NURS,2
Canada,2021,PHAR,2
Canada,2021,PHYS,3
Canada,2021,PSYC,5
Canada,2021,SOCI,2
Chile,2021,AGRI,2
Chile,2021,BIOC,3
Chile,2021,CENG,1
Chile,2021,CHEM,2
Chile,2021,ENGI,2
Chile,2021,ENVI,5
Chile,2021,MEDI,16
Chile,2021,NEUR,1
Chile,2021,PHYS,8
Chile,2021,PSYC,5
China,2021,AGRI,12
China,2021,ARTS,1
China,2021,BIOC,20
China,2021,BUSI,3
China,2021,CENG,21
China,2021,CHEM,18
China,2021,COMP,2
China,2021,EART,3
China,2021,ECON,1
China,2021,ENER,13
China,2021,ENGI,23
China,2021,ENVI,16
China,2021,IMMU,5
China,2021,MATE,19
China,2021,MATH,1
China,2021,MEDI,59
China,2021,MULT,8
China,2021,NEUR,1
China,2021,NURS,5
China,2021,PHAR,1
China,2021,PHYS,80
China,2021,PSYC,8
China,2021,SOCI,5
Colombia,2021,BIOC,2
Colombia,2021,CHEM,2
Colombia,2021,EART,3
Colombia,2021,ENER,1
Colombia,2021,ENGI,14
Colombia,2021,ENVI,2
Colombia,2021,MEDI,5
Colombia,2021,PHYS,58
Colombia,2021,PSYC,5
Costa Rica,2021,EART,1
Costa Rica,2021,IMMU,1
Costa Rica,2021,PSYC,1
Cote d'Ivoire,2021,CHEM,2
Cote d'Ivoire,2021,IMMU,1
Croatia,2021,BIOC,1
Croatia,2021,ENGI,14
Croatia,2021,MEDI,3
Croatia,2021,NEUR,1
Croatia,2021,PHYS,58
Croatia,2021,PSYC,4
Cyprus,2021,BIOC,1
Cyprus,2021,ENGI,14
Cyprus,2021,PHYS,58
Cyprus,2021,PSYC,2
Czech Republic,2021,AGRI,3
Czech Republic,2021,BIOC,3
Czech Republic,2021,CHEM,2
Czech Republic,2021,EART,1
Czech Republic,2021,ENGI,16
Czech Republic,2021,IMMU,1
Czech Republic,2021,MEDI,5
Czech Republic,2021,NEUR,1
Czech Republic,2021,PHYS,62
Czech Republic,2021,PSYC,4
Democratic Republic Congo,2021,IMMU,1
Democratic Republic Congo,2021,MEDI,1
Denmark,2021,BIOC,3
Denmark,2021,CENG,4
Denmark,2021,CHEM,1
Denmark,2021,ENVI,3
Denmark,2021,IMMU,1
Denmark,2021,MEDI,10
Denmark,2021,NEUR,1
Denmark,2021,PHYS,2
Denmark,2021,PSYC,6
Denmark,2021,SOCI,1
Ecuador,2021,CHEM,2
Ecuador,2021,EART,1
Ecuador,2021,ENGI,14
Ecuador,2021,MEDI,1
Ecuador,2021,NEUR,1
Ecuador,2021,PHYS,58
Ecuador,2021,PSYC,3
Ecuador,2021,SOCI,1
Egypt,2021,AGRI,5
Egypt,2021,BIOC,2
Egypt,2021,CHEM,1
Egypt,2021,DENT,1
Egypt,2021,ENGI,16
Egypt,2021,ENVI,2
Egypt,2021,IMMU,1
Egypt,2021,MEDI,7
Egypt,2021,PHAR,1
Egypt,2021,PHYS,58
Estonia,2021,BIOC,1
Estonia,2021,CHEM,2
Estonia,2021,ENGI,14
Estonia,2021,PHYS,58
Estonia,2021,PSYC,2
Ethiopia,2021,MEDI,1
Fiji,2021,MATH,1
Finland,2021,AGRI,2
Finland,2021,BIOC,2
Finland,2021,CHEM,2
Finland,2021,EART,1
Finland,2021,ENGI,16
Finland,2021,ENVI,3
Finland,2021,MEDI,1
Finland,2021,NEUR,1
Finland,2021,PHYS,63
Finland,2021,PSYC,3
Finland,2021,SOCI,1
France,2021,AGRI,7
France,2021,BIOC,7
France,2021,BUSI,1
France,2021,CENG,3
France,2021,CHEM,3
France,2021,COMP,1
France,2021,DENT,1
France,2021,EART,5
France,2021,ECON,2
France,2021,ENER,1
France,2021,ENGI,18
France,2021,ENVI,3
France,2021,IMMU,1
France,2021,MATE,2
France,2021,MATH,2
France,2021,MEDI,37
France,2021,MULT,5
France,2021,PHAR,1
France,2021,PHYS,67
France,2021,PSYC,6
France,2021,SOCI,1
France,2021,VETE,1
Gambia,2021,IMMU,1
Gambia,2021,MEDI,1
Georgia,2021,BIOC,1
Georgia,2021,ENGI,14
Georgia,2021,MEDI,6
Georgia,2021,PHYS,56
Georgia,2021,PSYC,2
Germany,2021,AGRI,9
Germany,2021,ARTS,1
Germany,2021,BIOC,12
Germany,2021,CENG,2
Germany,2021,CHEM,7
Germany,2021,DENT,1
Germany,2021,EART,3
Germany,2021,ENER,1
Germany,2021,ENGI,16
Germany,2021,ENVI,5
Germany,2021,IMMU,1
Germany,2021,MATE,2
Germany,2021,MEDI,42
Germany,2021,MULT,7
Germany,2021,NEUR,5
Germany,2021,NURS,1
Germany,2021,PHAR,2
Germany,2021,PHYS,71
Germany,2021,PSYC,6
Germany,2021,SOCI,1
Ghana,2021,BIOC,1
Ghana,2021,CHEM,3
Ghana,2021,MATH,1
