,Country,Subject Area,Year2025_pred
1,Afghanistan,Multidisciplinary,8.743589743589745
2,Albania,Economics,85.4412191582003
8,Algeria,Energy,29.34571079367502
15,Angola,Medicine,0.0
31,Argentina,Veterinary,19.282732860923762
36,Armenia,Materials Science,33.18413342255799
40,Aruba,Medicine,1.5769230769230769
66,Australia,Social Sciences,11.073354561513305
78,Austria,Health Professions,23.23703594650964
91,Azerbaijan,Medicine,1.899299719887955
95,Bahrain,Economics,64.7595619423724
103,Bangladesh,Business,11.709724238026125
124,Belarus,Economics,28.055525894190293
153,Belgium,Veterinary,13.538023990437969
154,Belize,Multidisciplinary,5.041666666666667
155,Benin,Earth and Planetary Sciences,64.08333333333333
160,Bhutan,Dentistry,85.02830188679246
166,Bolivia,Earth and Planetary Sciences,86.40330188679245
175,Bosnia and Herzegovina,Medicine,2.012746331236897
178,Botswana,Biochemistry,0.21522084402809086
207,Brazil,Veterinary,23.945331113577502
212,Brunei Darussalam,Environmental Science,2.432099513817277
218,Bulgaria,Dentistry,6.593364934448823
234,Burkina Faso,Veterinary,38.52098039215687
236,Burundi,Multidisciplinary,0.1736111111111111
241,Cambodia,Dentistry,64.11263510179317
253,Cameroon,Business,36.04711629985747
284,Canada,Veterinary,9.31051832905382
286,Cape Verde,Multidisciplinary,2.5
288,Central African Republic,Medicine,0.0
289,Chad,Immunology and Microbiology,0.8617921482382669
298,Chile,Earth and Planetary Sciences,53.70943136135156
324,China,Dentistry,15.034255040305988
360,Colombia,Social Sciences,14.531666901558383
361,Congo,Multidisciplinary,1.216279069767442
362,Costa Rica,Biochemistry,3.8478349313014375
373,Cote d'Ivoire,Medicine,1.5295309356136821
375,Croatia,Agricultural and Biological Sciences,15.250439882697936
400,Cuba,Veterinary,41.36503095470838
403,Cyprus,Dentistry,55.331631802419935
412,Czech Republic,Biochemistry,13.748814116972875
432,Democratic Republic Congo,Medicine,3.1392801251956177
459,Denmark,Veterinary,10.638771840464363
460,Dominican Republic,Medicine,0.8357142857142857
476,Ecuador,Social Sciences,16.84031423725777
480,Egypt,Chemical Engineering,11.315428478331706
501,El Salvador,Medicine,0.0
502,Eritrea,Environmental Science,0.0
508,Estonia,Earth and Planetary Sciences,44.76785714285715
524,Ethiopia,Multidisciplinary,21.369641660664584
530,Federated States of Micronesia,Computer Scienc,3.893386650279772s3
531,Fiji,Agricultural and Biological Sciences,39.28184756074761
544,Finland,Health Professions,10.733554810399067
564,France,Earth and Planetary Sciences,9.184766302784844
582,French Guiana,Medicine,0.0
584,Gabon,Nursing,11.313227311511705
586,Gambia,Medicine,0.44444444444444436
592,Georgia,Neuroscience,66.85382513661204
621,Germany,Social Sciences,12.239714748159734
635,Ghana,Neuroscience,25.88076619379619
658,Greece,Social Sciences,15.005401713362446
660,Guatemala,Biochemistry,0.2178932178932179
663,Guinea,Earth and Planetary Sciences,81.99567099567099
665,Guinea-Bissau,Multidisciplinary,0.0
666,Guyana,Dentistry,89.1373889268626
668,Haiti,Medicine,0.319577023832343
670,Honduras,Medicine,4.857142857142857
677,Hong Kong,Computer Scienc,10.410942558419809
702,Hungary,Dentistry,39.19384825700618
724,Iceland,Earth and Planetary Sciences,26.694190020505793
733,India,Biochemistry,12.134578240305354
758,Indonesia,Agricultural and Biological Sciences,9.250545954475795
