Country,Year,Subject Area,Number of Documents
Afghanistan,2018,Medicine,80
Afghanistan,2018,Mathematics,40
Afghanistan,2018,Engineering,32
Afghanistan,2018,"Biochemistry, Genetics and Molecular Biology",
Afghanistan,2018,,
Afghanistan,2019,Medicine,93
Afghanistan,2019,Engineering,70
Afghanistan,2019,Agricultural and Biological Sciences,51
Afghanistan,2019,Mathematics,49
Afghanistan,2019,Social Sciences,48
Afghanistan,2020,Medicine,122
Afghanistan,2020,Social Sciences,70
Afghanistan,2020,Engineering,54
Afghanistan,2020,Environmental Science,51
Afghanistan,2020,Computer Science,43
Afghanistan,2021,Medicine,260
Afghanistan,2021,Social Sciences,71
Afghanistan,2021,Environmental Science,68
Afghanistan,2021,Agricultural and Biological Sciences,59
Afghanistan,2021,Engineering,52
Afghanistan,2022,Medicine,317
Afghanistan,2022,Engineering,98
Afghanistan,2022,Computer Science,91
Afghanistan,2022,Social Sciences,87
Afghanistan,2022,Agricultural and Biological Sciences,72
Afghanistan,2023,Medicine,221
Afghanistan,2023,Agricultural and Biological Sciences,86
Afghanistan,2023,Social Sciences,84
Afghanistan,2023,Environmental Science,79
Afghanistan,2023,Engineering,77
Afghanistan,2024,Medicine,180
Afghanistan,2024,Multidisciplinary,118
Afghanistan,2024,Engineering,110
Afghanistan,2024,Social Sciences,86
Afghanistan,2024,Agricultural and Biological Sciences,85
