Organization,Address,Subject Area,Documents
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Medicine,"302,452"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States","Biochemistry, Genetics and Molecular Biology","109,493"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Neuroscience,"38,613"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Immunology and Microbiology,"28,748"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Multidisciplinary,"18,892"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Psychology,"14,731"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States","Pharmacology, Toxicology and Pharmaceutics","12,819"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Engineering,"11,333"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Nursing,"10,887"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Chemistry,"9,210"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Physics and Astronomy,"9,043"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Agricultural and Biological Sciences,"8,446"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Social Sciences,"8,114"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Health Professions,"7,757"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Computer Science,"7,467"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Materials Science,"5,853"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Chemical Engineering,"5,657"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Arts and Humanities,"5,356"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Mathematics,"4,170"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Environmental Science,"2,742"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Dentistry,"2,210"
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Veterinary,715
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Decision Sciences,612
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States","Business, Management and Accounting",603
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States","Economics, Econometrics and Finance",430
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Earth and Planetary Sciences,290
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Energy,228
Harvard Medical School,"25 Shattuck Street, Boston, MA, United States",Undefined,125
